Dataset,S1,S2,S3,S4,Total
Dataset E,0.5061485767364502,2.6141703128814697,0.0,8.845329284667969e-05,3.1204073429107666
Dataset E,0.4595561027526855,2.87947416305542,0.0,0.0001056194305419,3.3391358852386475
Dataset E,0.5606396198272705,2.7336959838867188,0.0,9.226799011230467e-05,3.2944278717041016
Dataset E,0.460529088973999,2.241771936416626,0.0,8.988380432128906e-05,2.7023909091949463
Dataset E,0.4241058826446533,2.475648164749145,0.0,0.000133991241455,2.899888038635254
Dataset E,0.6159079074859619,2.435615062713623,0.0,9.65595245361328e-05,3.051619529724121
Dataset E,0.4742941856384277,2.298774003982544,0.0,0.0001716613769531,2.773239850997925
Dataset E,0.4354829788208008,2.788125276565552,0.0,9.107589721679688e-05,3.2236993312835693
Dataset E,0.529461145401001,3.065723180770874,0.0,0.0001533031463623,3.5953376293182373
Dataset F,0.5652086734771729,4.371819496154785,29.678937911987305,0.8237709999084473,35.43973708152771
Dataset F,0.4712147712707519,3.552446126937866,27.657491207122803,1.1020383834838867,32.78319048881531
Dataset F,0.4565334320068359,3.940862894058228,27.854951858520508,0.9385058879852296,33.1908540725708
Dataset F,0.4367179870605469,3.78907322883606,26.959867238998413,0.996849775314331,32.18250823020935
Dataset F,0.3516252040863037,3.5201778411865234,28.78338861465454,1.0338833332061768,33.689074993133545
Dataset F,0.4153568744659424,3.818069458007813,24.77199125289917,1.2022552490234375,30.20767283439636
Dataset F,0.5242810249328613,4.025334358215332,27.249090671539307,1.132904052734375,32.931610107421875
Dataset F,0.4752886295318603,4.247455596923828,24.44539594650269,1.2757329940795898,30.443873167037964
Dataset F,0.5290887355804443,3.203928709030152,24.892055988311768,1.2456614971160889,29.87073493003845
Dataset F,0.5404698848724365,3.85685658454895,27.97946786880493,1.0990474224090576,33.475841760635376
