DataSize,Time,Algorithm
5500,1.6084065437316897,FlowDBSCAN
5500,3.38433575630188,ScaleFC
6000,1.2925677299499512,FlowDBSCAN
6000,3.3283886909484863,ScaleFC
6500,1.5433309078216553,FlowDBSCAN
6500,4.372600317001343,ScaleFC
7000,2.0835580825805664,FlowDBSCAN
7000,4.908110618591309,ScaleFC
7500,2.244458675384521,FlowDBSCAN
7500,5.284351825714111,ScaleFC
8000,2.7963762283325195,FlowDBSCAN
8000,6.45098352432251,ScaleFC
8500,2.546065330505371,FlowDBSCAN
8500,6.551313877105713,ScaleFC
9000,3.0866479873657227,FlowDBSCAN
9000,8.269554853439331,ScaleFC
9500,3.90183687210083,FlowDBSCAN
9500,8.990943193435669,ScaleFC
10000,4.148576736450195,FlowDBSCAN
10000,9.795113801956177,ScaleFC
10500,4.019198656082153,FlowDBSCAN
10500,9.569079160690308,ScaleFC
11000,4.223976850509644,FlowDBSCAN
11000,10.551164150238035,ScaleFC
11500,4.631040573120117,FlowDBSCAN
11500,12.182588577270508,ScaleFC
12000,5.990847587585449,FlowDBSCAN
12000,12.900002717971802,ScaleFC
12500,5.111411333084106,FlowDBSCAN
12500,14.235269784927368,ScaleFC
13000,6.446958541870117,FlowDBSCAN
13000,14.626568794250488,ScaleFC
13500,6.16269588470459,FlowDBSCAN
13500,16.69820499420166,ScaleFC
14000,8.8879873752594,FlowDBSCAN
14000,20.6852285861969,ScaleFC
14500,7.644753932952881,FlowDBSCAN
14500,21.45304656028748,ScaleFC
15000,6.744363069534302,FlowDBSCAN
15000,20.770817756652832,ScaleFC
15500,8.052216053009033,FlowDBSCAN
15500,23.32354235649109,ScaleFC
16000,10.597459316253662,FlowDBSCAN
16000,23.84658646583557,ScaleFC
16500,9.199378728866575,FlowDBSCAN
16500,25.25062608718872,ScaleFC
17000,8.987425088882446,FlowDBSCAN
17000,26.741127252578732,ScaleFC
17500,10.931859970092772,FlowDBSCAN
17500,29.70238304138184,ScaleFC
18000,11.708128929138184,FlowDBSCAN
18000,29.70957612991333,ScaleFC
18500,11.55234694480896,FlowDBSCAN
18500,31.273871660232544,ScaleFC
19000,11.897220134735107,FlowDBSCAN
19000,34.34564518928528,ScaleFC
19500,12.58753538131714,FlowDBSCAN
19500,33.763806104660034,ScaleFC
20000,14.04184603691101,FlowDBSCAN
20000,39.437512159347534,ScaleFC
5500,704.2135455565797,AFC
5500,818.9969186676066,FlowLF
6000,953.44330271701,AFC
6000,882.4325382021466,FlowLF
6500,2.9120026258419784,AFC
6500,255.80664916884237,FlowLF
7000,1250.7329403135698,AFC
7000,1182.6776082312372,FlowLF
7500,425.1194054873346,AFC
7500,211.34984276751072,FlowLF
8000,605.5963799159581,AFC
8000,337.7916379836717,FlowLF
8500,512.7749382523975,AFC
8500,994.44304880347,FlowLF
9000,961.4683909328072,AFC
9000,407.6211907072423,FlowLF
9500,759.7842301803039,AFC
9500,322.09445947356033,FlowLF
10000,1651.6643929568886,AFC
10000,626.9845640425204,FlowLF
10500,679.6172544622773,AFC
10500,567.242080579437,FlowLF
11000,159.9863686307798,AFC
11000,588.9406789957656,FlowLF
11500,741.0123956999363,AFC
11500,1492.3160783196513,FlowLF
12000,239.09728569738195,AFC
12000,645.2460107030294,FlowLF
12500,-184.8292482012223,AFC
12500,-460.7129447909744,FlowLF
13000,1161.9711721259318,AFC
13000,-209.92413553992083,FlowLF
13500,1382.3568601624495,AFC
13500,497.805630780704,FlowLF
14000,1381.9387213662362,AFC
14000,953.2793955165424,FlowLF
14500,1290.8389570606496,AFC
14500,852.5710224943787,FlowLF
15000,1316.1826524443268,AFC
15000,463.6468627185545,FlowLF
15500,894.2417630297591,AFC
15500,6.566324317715612,FlowLF
16000,1212.323930027776,AFC
16000,1977.2977488599167,FlowLF
16500,112.4457858414155,AFC
16500,597.1710575536534,FlowLF
17000,723.450688133725,AFC
17000,-347.9281614995444,FlowLF
17500,305.396708007337,AFC
17500,-356.20197601233235,FlowLF
18000,971.014163379518,AFC
18000,1121.0579999233353,FlowLF
18500,-538.3783255860261,AFC
18500,690.664315598304,FlowLF
19000,1645.1907747729665,AFC
19000,373.4004061235826,FlowLF
19500,712.5646767415701,AFC
19500,1358.2727964659866,FlowLF
20000,253.00829156065916,AFC
20000,825.3908816834249,FlowLF
