Dataset,SF,ARI,K
Dataset A,0.5299999999999998,0.8100976347986323,6
Dataset A,0.5299999999999998,0.8196426497420469,7
Dataset A,0.5299999999999998,0.8309366761685681,8
Dataset A,0.5299999999999998,0.8309366761685681,9
Dataset A,0.5299999999999998,0.8309366761685681,10
Dataset A,0.5299999999999998,0.8309366761685681,11
Dataset A,0.5299999999999998,0.8309366761685681,12
Dataset A,0.5299999999999998,0.8309366761685681,13
Dataset A,0.5299999999999998,0.8406017550485393,14
Dataset A,0.5299999999999998,0.8406017550485393,15
Dataset A,0.5299999999999998,0.8406017550485393,16
Dataset A,0.5299999999999998,0.8406017550485393,17
Dataset A,0.5299999999999998,0.8502790432322801,18
Dataset A,0.5299999999999998,0.8502790432322801,19
Dataset A,0.5299999999999998,0.8616381304951412,20
Dataset A,0.5299999999999998,0.8616381304951412,21
Dataset A,0.5299999999999998,0.8616381304951412,22
Dataset A,0.5299999999999998,0.8616381304951412,23
Dataset A,0.5299999999999998,0.8616381304951412,24
Dataset A,0.5299999999999998,0.5672937771345875,25
Dataset A,0.5299999999999998,0.4243163973737776,26
Dataset A,0.5299999999999998,0.2215801478634187,27
Dataset A,0.5299999999999998,0.1190167330543087,28
Dataset A,0.5299999999999998,0.1069513365707141,29
Dataset A,0.5299999999999998,0.0912505276103031,30
Dataset A,0.5299999999999998,0.0770284723570506,31
Dataset A,0.5299999999999998,0.0737212107115731,32
Dataset A,0.5299999999999998,0.0,33
Dataset A,0.5299999999999998,0.0,34
Dataset A,0.5299999999999998,0.0,35
Dataset A,0.5349999999999998,0.6935718519602447,2
Dataset A,0.5349999999999998,0.7565643421917474,3
Dataset A,0.5349999999999998,0.798860163550052,4
Dataset A,0.5349999999999998,0.8100976347986323,5
Dataset A,0.5349999999999998,0.8100976347986323,6
Dataset A,0.5349999999999998,0.8196426497420469,7
Dataset A,0.5349999999999998,0.8196426497420469,8
Dataset A,0.5349999999999998,0.8309366761685681,9
Dataset A,0.5349999999999998,0.8309366761685681,10
Dataset A,0.5349999999999998,0.8309366761685681,11
Dataset A,0.5349999999999998,0.8309366761685681,12
Dataset A,0.5349999999999998,0.8309366761685681,13
Dataset A,0.5349999999999998,0.8309366761685681,14
Dataset A,0.5349999999999998,0.8309366761685681,15
Dataset A,0.5349999999999998,0.8406017550485393,16
Dataset A,0.5349999999999998,0.8406017550485393,17
Dataset A,0.5349999999999998,0.8502790432322801,18
Dataset A,0.5349999999999998,0.8502790432322801,19
Dataset A,0.5349999999999998,0.8616381304951412,20
Dataset A,0.5349999999999998,0.8616381304951412,21
Dataset A,0.5349999999999998,0.8616381304951412,22
Dataset A,0.5349999999999998,0.8616381304951412,23
Dataset A,0.5349999999999998,0.8616381304951412,24
Dataset A,0.5349999999999998,0.5672937771345875,25
Dataset A,0.5349999999999998,0.4394953193064569,26
Dataset A,0.5349999999999998,0.2374290121831332,27
Dataset A,0.5349999999999998,0.1231058247187279,28
Dataset A,0.5349999999999998,0.1107398983166854,29
Dataset A,0.5349999999999998,0.0948636892884443,30
Dataset A,0.5349999999999998,0.0804723891433935,31
Dataset A,0.5349999999999998,0.0770284723570506,32
Dataset A,0.5349999999999998,0.0770284723570506,33
Dataset A,0.5349999999999998,0.0,34
Dataset A,0.5349999999999998,0.0,35
Dataset A,0.5399999999999998,0.6935718519602447,2
Dataset A,0.5399999999999998,0.7565643421917474,3
Dataset A,0.5399999999999998,0.798860163550052,4
Dataset A,0.5399999999999998,0.798860163550052,5
Dataset A,0.5399999999999998,0.8100976347986323,6
Dataset A,0.5399999999999998,0.8196426497420469,7
Dataset A,0.5399999999999998,0.8196426497420469,8
Dataset A,0.5399999999999998,0.8196426497420469,9
Dataset A,0.5399999999999998,0.8196426497420469,10
Dataset A,0.5399999999999998,0.8196426497420469,11
Dataset A,0.5399999999999998,0.8309366761685681,12
Dataset A,0.5399999999999998,0.8309366761685681,13
Dataset A,0.5399999999999998,0.8309366761685681,14
Dataset A,0.5399999999999998,0.8309366761685681,15
Dataset A,0.5399999999999998,0.8309366761685681,16
Dataset A,0.5399999999999998,0.8406017550485393,17
Dataset A,0.5399999999999998,0.8502790432322801,18
Dataset A,0.5399999999999998,0.8502790432322801,19
Dataset A,0.5399999999999998,0.8502790432322801,20
Dataset A,0.5399999999999998,0.8616381304951412,21
Dataset A,0.5399999999999998,0.8616381304951412,22
Dataset A,0.5399999999999998,0.8616381304951412,23
Dataset A,0.5399999999999998,0.8616381304951412,24
Dataset A,0.5399999999999998,0.5672937771345875,25
Dataset A,0.5399999999999998,0.4394953193064569,26
Dataset A,0.5399999999999998,0.2468313593942866,27
Dataset A,0.5399999999999998,0.1276125375733544,28
Dataset A,0.5399999999999998,0.1146716588239553,29
Dataset A,0.5399999999999998,0.0986176428673222,30
Dataset A,0.5399999999999998,0.0877765833107277,31
Dataset A,0.5399999999999998,0.0804723891433935,32
Dataset A,0.5399999999999998,0.0770284723570506,33
Dataset A,0.5399999999999998,0.0,34
Dataset A,0.5399999999999998,0.0,35
Dataset A,0.5449999999999998,0.6829532614605635,2
Dataset A,0.5449999999999998,0.7565643421917474,3
Dataset A,0.5449999999999998,0.7877446834219429,4
Dataset A,0.5449999999999998,0.798860163550052,5
Dataset A,0.5449999999999998,0.798860163550052,6
Dataset A,0.5449999999999998,0.8196426497420469,7
Dataset A,0.5449999999999998,0.8196426497420469,8
Dataset A,0.5449999999999998,0.8196426497420469,9
Dataset A,0.5449999999999998,0.8196426497420469,10
Dataset A,0.5449999999999998,0.8196426497420469,11
Dataset A,0.5449999999999998,0.8309366761685681,12
Dataset A,0.5449999999999998,0.8309366761685681,13
Dataset A,0.5449999999999998,0.8309366761685681,14
Dataset A,0.5449999999999998,0.8309366761685681,15
Dataset A,0.5449999999999998,0.8309366761685681,16
Dataset A,0.5449999999999998,0.8309366761685681,17
Dataset A,0.5449999999999998,0.8406017550485393,18
Dataset A,0.5449999999999998,0.8502790432322801,19
Dataset A,0.5449999999999998,0.8502790432322801,20
Dataset A,0.5449999999999998,0.8616381304951412,21
Dataset A,0.5449999999999998,0.8616381304951412,22
Dataset A,0.5449999999999998,0.8616381304951412,23
Dataset A,0.5449999999999998,0.8616381304951412,24
Dataset A,0.5449999999999998,0.5672937771345875,25
Dataset A,0.5449999999999998,0.4460089321965083,26
Dataset A,0.5449999999999998,0.2560637794743598,27
Dataset A,0.5449999999999998,0.1318611889667977,28
Dataset A,0.5449999999999998,0.1190167330543087,29
Dataset A,0.5449999999999998,0.1025139564187629,30
Dataset A,0.5449999999999998,0.0986176428673222,31
Dataset A,0.5449999999999998,0.084054560880033,32
Dataset A,0.5449999999999998,0.0804723891433935,33
Dataset A,0.5449999999999998,0.0,34
Dataset A,0.5449999999999998,0.0,35
Dataset A,0.5499999999999998,0.6604304847153062,2
Dataset A,0.5499999999999998,0.7565643421917474,3
Dataset A,0.5499999999999998,0.7877446834219429,4
Dataset A,0.5499999999999998,0.798860163550052,5
Dataset A,0.5499999999999998,0.798860163550052,6
Dataset A,0.5499999999999998,0.8100976347986323,7
Dataset A,0.5499999999999998,0.8196426497420469,8
Dataset A,0.5499999999999998,0.8196426497420469,9
Dataset A,0.5499999999999998,0.8196426497420469,10
Dataset A,0.5499999999999998,0.8196426497420469,11
Dataset A,0.5499999999999998,0.8196426497420469,12
Dataset A,0.5499999999999998,0.8309366761685681,13
Dataset A,0.5499999999999998,0.8309366761685681,14
Dataset A,0.5499999999999998,0.8309366761685681,15
Dataset A,0.5499999999999998,0.8309366761685681,16
Dataset A,0.5499999999999998,0.8309366761685681,17
Dataset A,0.5499999999999998,0.8309366761685681,18
Dataset A,0.5499999999999998,0.8502790432322801,19
Dataset A,0.5499999999999998,0.8502790432322801,20
Dataset A,0.5499999999999998,0.8502790432322801,21
Dataset A,0.5499999999999998,0.8616381304951412,22
Dataset A,0.5499999999999998,0.8616381304951412,23
Dataset A,0.5499999999999998,0.8616381304951412,24
Dataset A,0.5499999999999998,0.5672937771345875,25
Dataset A,0.5499999999999998,0.4514847628003812,26
Dataset A,0.5499999999999998,0.2666645758379596,27
Dataset A,0.5499999999999998,0.2300698165286572,28
Dataset A,0.5499999999999998,0.1231058247187279,29
Dataset A,0.5499999999999998,0.1146716588239553,30
Dataset A,0.5499999999999998,0.0986176428673222,31
Dataset A,0.5499999999999998,0.084054560880033,32
Dataset A,0.5499999999999998,0.0804723891433935,33
Dataset A,0.5499999999999998,0.0,34
Dataset A,0.5499999999999998,0.0,35
Dataset A,0.5549999999999998,0.6604304847153062,2
Dataset A,0.5549999999999998,0.7565643421917474,3
Dataset A,0.5549999999999998,0.7877446834219429,4
Dataset A,0.5549999999999998,0.7877446834219429,5
Dataset A,0.5549999999999998,0.798860163550052,6
Dataset A,0.5549999999999998,0.798860163550052,7
Dataset A,0.5549999999999998,0.8100976347986323,8
Dataset A,0.5549999999999998,0.8196426497420469,9
Dataset A,0.5549999999999998,0.8196426497420469,10
Dataset A,0.5549999999999998,0.8196426497420469,11
Dataset A,0.5549999999999998,0.8196426497420469,12
Dataset A,0.5549999999999998,0.8196426497420469,13
Dataset A,0.5549999999999998,0.8309366761685681,14
Dataset A,0.5549999999999998,0.8309366761685681,15
Dataset A,0.5549999999999998,0.8309366761685681,16
Dataset A,0.5549999999999998,0.8309366761685681,17
Dataset A,0.5549999999999998,0.8309366761685681,18
Dataset A,0.5549999999999998,0.8502790432322801,19
Dataset A,0.5549999999999998,0.8502790432322801,20
Dataset A,0.5549999999999998,0.8502790432322801,21
Dataset A,0.5549999999999998,0.8616381304951412,22
Dataset A,0.5549999999999998,0.8616381304951412,23
Dataset A,0.5549999999999998,0.8616381304951412,24
Dataset A,0.5549999999999998,0.5672937771345875,25
Dataset A,0.5549999999999998,0.4621813739847579,26
Dataset A,0.5549999999999998,0.3716377215803002,27
Dataset A,0.5549999999999998,0.2337504265834963,28
Dataset A,0.5549999999999998,0.1231058247187279,29
Dataset A,0.5549999999999998,0.1146716588239553,30
Dataset A,0.5549999999999998,0.1064218087536792,31
Dataset A,0.5549999999999998,0.0911206877085472,32
Dataset A,0.5549999999999998,0.087518172229905,33
Dataset A,0.5549999999999998,0.0804723891433935,34
Dataset A,0.5549999999999998,0.0,35
Dataset A,0.5599999999999998,0.6461036155199238,2
Dataset A,0.5599999999999998,0.7565643421917474,3
Dataset A,0.5599999999999998,0.7877446834219429,4
Dataset A,0.5599999999999998,0.7877446834219429,5
Dataset A,0.5599999999999998,0.798860163550052,6
Dataset A,0.5599999999999998,0.798860163550052,7
Dataset A,0.5599999999999998,0.8100976347986323,8
Dataset A,0.5599999999999998,0.8100976347986323,9
Dataset A,0.5599999999999998,0.8196426497420469,10
Dataset A,0.5599999999999998,0.8196426497420469,11
Dataset A,0.5599999999999998,0.8196426497420469,12
Dataset A,0.5599999999999998,0.8196426497420469,13
Dataset A,0.5599999999999998,0.8309366761685681,14
Dataset A,0.5599999999999998,0.8309366761685681,15
Dataset A,0.5599999999999998,0.8309366761685681,16
Dataset A,0.5599999999999998,0.8309366761685681,17
Dataset A,0.5599999999999998,0.8309366761685681,18
Dataset A,0.5599999999999998,0.8309366761685681,19
Dataset A,0.5599999999999998,0.8406017550485393,20
Dataset A,0.5599999999999998,0.8502790432322801,21
Dataset A,0.5599999999999998,0.8502790432322801,22
Dataset A,0.5599999999999998,0.8502790432322801,23
Dataset A,0.5599999999999998,0.8616381304951412,24
Dataset A,0.5599999999999998,0.5672937771345875,25
Dataset A,0.5599999999999998,0.4792909558199305,26
Dataset A,0.5599999999999998,0.3865578820361813,27
Dataset A,0.5599999999999998,0.2425886770741193,28
Dataset A,0.5599999999999998,0.2140677447048987,29
Dataset A,0.5599999999999998,0.1187481508304771,30
Dataset A,0.5599999999999998,0.1187481508304771,31
Dataset A,0.5599999999999998,0.1104738618627957,32
Dataset A,0.5599999999999998,0.1025139564187629,33
Dataset A,0.5599999999999998,0.087518172229905,34
Dataset A,0.5599999999999998,0.0,35
Dataset A,0.5649999999999998,0.6356841345196652,2
Dataset A,0.5649999999999998,0.7456683740453781,3
Dataset A,0.5649999999999998,0.7877446834219429,4
Dataset A,0.5649999999999998,0.7877446834219429,5
Dataset A,0.5649999999999998,0.798860163550052,6
Dataset A,0.5649999999999998,0.798860163550052,7
Dataset A,0.5649999999999998,0.8100976347986323,8
Dataset A,0.5649999999999998,0.8100976347986323,9
Dataset A,0.5649999999999998,0.8100976347986323,10
Dataset A,0.5649999999999998,0.8100976347986323,11
Dataset A,0.5649999999999998,0.8196426497420469,12
Dataset A,0.5649999999999998,0.8196426497420469,13
Dataset A,0.5649999999999998,0.8309366761685681,14
Dataset A,0.5649999999999998,0.8309366761685681,15
Dataset A,0.5649999999999998,0.8309366761685681,16
Dataset A,0.5649999999999998,0.8309366761685681,17
Dataset A,0.5649999999999998,0.8309366761685681,18
Dataset A,0.5649999999999998,0.8309366761685681,19
Dataset A,0.5649999999999998,0.8406017550485393,20
Dataset A,0.5649999999999998,0.8502790432322801,21
Dataset A,0.5649999999999998,0.8502790432322801,22
Dataset A,0.5649999999999998,0.8502790432322801,23
Dataset A,0.5649999999999998,0.8616381304951412,24
Dataset A,0.5649999999999998,0.5672937771345875,25
Dataset A,0.5649999999999998,0.4792909558199305,26
Dataset A,0.5649999999999998,0.4031152146028934,27
Dataset A,0.5649999999999998,0.2570675726543573,28
Dataset A,0.5649999999999998,0.2314153488175907,29
Dataset A,0.5649999999999998,0.1187481508304771,30
Dataset A,0.5649999999999998,0.1187481508304771,31
Dataset A,0.5649999999999998,0.1104738618627957,32
Dataset A,0.5649999999999998,0.1064218087536792,33
Dataset A,0.5649999999999998,0.0986176428673222,34
Dataset A,0.5649999999999998,0.083925989089028,35
Dataset A,0.5699999999999998,0.6356841345196652,2
Dataset A,0.5699999999999998,0.7347318325300299,3
Dataset A,0.5699999999999998,0.7877446834219429,4
Dataset A,0.5699999999999998,0.7877446834219429,5
Dataset A,0.5699999999999998,0.798860163550052,6
Dataset A,0.5699999999999998,0.798860163550052,7
Dataset A,0.5699999999999998,0.798860163550052,8
Dataset A,0.5699999999999998,0.798860163550052,9
Dataset A,0.5699999999999998,0.8100976347986323,10
Dataset A,0.5699999999999998,0.8100976347986323,11
Dataset A,0.5699999999999998,0.8196426497420469,12
Dataset A,0.5699999999999998,0.8196426497420469,13
Dataset A,0.5699999999999998,0.8309366761685681,14
Dataset A,0.5699999999999998,0.8309366761685681,15
Dataset A,0.5699999999999998,0.8309366761685681,16
Dataset A,0.5699999999999998,0.8309366761685681,17
Dataset A,0.5699999999999998,0.8309366761685681,18
Dataset A,0.5699999999999998,0.8309366761685681,19
Dataset A,0.5699999999999998,0.8309366761685681,20
Dataset A,0.5699999999999998,0.8502790432322801,21
Dataset A,0.5699999999999998,0.8502790432322801,22
Dataset A,0.5699999999999998,0.8502790432322801,23
Dataset A,0.5699999999999998,0.8616381304951412,24
Dataset A,0.5699999999999998,0.5672937771345875,25
Dataset A,0.5699999999999998,0.4792909558199305,26
Dataset A,0.5699999999999998,0.4185069269355204,27
Dataset A,0.5699999999999998,0.2666645758379596,28
Dataset A,0.5699999999999998,0.2362121282590678,29
Dataset A,0.5699999999999998,0.2228196240557108,30
Dataset A,0.5699999999999998,0.1187481508304771,31
Dataset A,0.5699999999999998,0.1145380041830773,32
Dataset A,0.5699999999999998,0.1145380041830773,33
Dataset A,0.5699999999999998,0.1104738618627957,34
Dataset A,0.5699999999999998,0.087518172229905,35
Dataset A,0.5749999999999997,0.6286911663044079,2
Dataset A,0.5749999999999997,0.7255084598562997,3
Dataset A,0.5749999999999997,0.7877446834219429,4
Dataset A,0.5749999999999997,0.7877446834219429,5
Dataset A,0.5749999999999997,0.798860163550052,6
Dataset A,0.5749999999999997,0.798860163550052,7
Dataset A,0.5749999999999997,0.798860163550052,8
Dataset A,0.5749999999999997,0.798860163550052,9
Dataset A,0.5749999999999997,0.8100976347986323,10
Dataset A,0.5749999999999997,0.8100976347986323,11
Dataset A,0.5749999999999997,0.8196426497420469,12
Dataset A,0.5749999999999997,0.8196426497420469,13
Dataset A,0.5749999999999997,0.8196426497420469,14
Dataset A,0.5749999999999997,0.8309366761685681,15
Dataset A,0.5749999999999997,0.8309366761685681,16
Dataset A,0.5749999999999997,0.8309366761685681,17
Dataset A,0.5749999999999997,0.8309366761685681,18
Dataset A,0.5749999999999997,0.8309366761685681,19
Dataset A,0.5749999999999997,0.8309366761685681,20
Dataset A,0.5749999999999997,0.8502790432322801,21
Dataset A,0.5749999999999997,0.8502790432322801,22
Dataset A,0.5749999999999997,0.8502790432322801,23
Dataset A,0.5749999999999997,0.8502790432322801,24
Dataset A,0.5749999999999997,0.5672937771345875,25
Dataset A,0.5749999999999997,0.4792909558199305,26
Dataset A,0.5749999999999997,0.4306570008087587,27
Dataset A,0.5749999999999997,0.370251567493803,28
Dataset A,0.5749999999999997,0.2464344434672886,29
Dataset A,0.5749999999999997,0.2274399173505792,30
Dataset A,0.5749999999999997,0.1273414098122179,31
Dataset A,0.5749999999999997,0.1187481508304771,32
Dataset A,0.5749999999999997,0.1145380041830773,33
Dataset A,0.5749999999999997,0.1145380041830773,34
Dataset A,0.5749999999999997,0.102777448229422,35
Dataset A,0.5799999999999997,0.6286911663044079,2
Dataset A,0.5799999999999997,0.7255084598562997,3
Dataset A,0.5799999999999997,0.7877446834219429,4
Dataset A,0.5799999999999997,0.7877446834219429,5
Dataset A,0.5799999999999997,0.798860163550052,6
Dataset A,0.5799999999999997,0.798860163550052,7
Dataset A,0.5799999999999997,0.798860163550052,8
Dataset A,0.5799999999999997,0.798860163550052,9
Dataset A,0.5799999999999997,0.8100976347986323,10
Dataset A,0.5799999999999997,0.8100976347986323,11
Dataset A,0.5799999999999997,0.8196426497420469,12
Dataset A,0.5799999999999997,0.8196426497420469,13
Dataset A,0.5799999999999997,0.8196426497420469,14
Dataset A,0.5799999999999997,0.8196426497420469,15
Dataset A,0.5799999999999997,0.8309366761685681,16
Dataset A,0.5799999999999997,0.8309366761685681,17
Dataset A,0.5799999999999997,0.8309366761685681,18
Dataset A,0.5799999999999997,0.8309366761685681,19
Dataset A,0.5799999999999997,0.8309366761685681,20
Dataset A,0.5799999999999997,0.8406017550485393,21
Dataset A,0.5799999999999997,0.8502790432322801,22
Dataset A,0.5799999999999997,0.8502790432322801,23
Dataset A,0.5799999999999997,0.8502790432322801,24
Dataset A,0.5799999999999997,0.5672937771345875,25
Dataset A,0.5799999999999997,0.4792909558199305,26
Dataset A,0.5799999999999997,0.4477813834062544,27
Dataset A,0.5799999999999997,0.3751721311571309,28
Dataset A,0.5799999999999997,0.2516100458226942,29
Dataset A,0.5799999999999997,0.2362121282590678,30
Dataset A,0.5799999999999997,0.1273414098122179,31
Dataset A,0.5799999999999997,0.1187481508304771,32
Dataset A,0.5799999999999997,0.1145380041830773,33
Dataset A,0.5799999999999997,0.1145380041830773,34
Dataset A,0.5799999999999997,0.1065541907079379,35
Dataset A,0.5849999999999997,0.6001830640588747,2
Dataset A,0.5849999999999997,0.7255084598562997,3
Dataset A,0.5849999999999997,0.7767553551069003,4
Dataset A,0.5849999999999997,0.7877446834219429,5
Dataset A,0.5849999999999997,0.798860163550052,6
Dataset A,0.5849999999999997,0.798860163550052,7
Dataset A,0.5849999999999997,0.798860163550052,8
Dataset A,0.5849999999999997,0.798860163550052,9
Dataset A,0.5849999999999997,0.8100976347986323,10
Dataset A,0.5849999999999997,0.8100976347986323,11
Dataset A,0.5849999999999997,0.8100976347986323,12
Dataset A,0.5849999999999997,0.8196426497420469,13
Dataset A,0.5849999999999997,0.8196426497420469,14
Dataset A,0.5849999999999997,0.8196426497420469,15
Dataset A,0.5849999999999997,0.8309366761685681,16
Dataset A,0.5849999999999997,0.8309366761685681,17
Dataset A,0.5849999999999997,0.8309366761685681,18
Dataset A,0.5849999999999997,0.8309366761685681,19
Dataset A,0.5849999999999997,0.8309366761685681,20
Dataset A,0.5849999999999997,0.8309366761685681,21
Dataset A,0.5849999999999997,0.8406017550485393,22
Dataset A,0.5849999999999997,0.8502790432322801,23
Dataset A,0.5849999999999997,0.8502790432322801,24
Dataset A,0.5849999999999997,0.5672937771345875,25
Dataset A,0.5849999999999997,0.4792909558199305,26
Dataset A,0.5849999999999997,0.4599911876403158,27
Dataset A,0.5849999999999997,0.3814875606701348,28
Dataset A,0.5849999999999997,0.2516100458226942,29
Dataset A,0.5849999999999997,0.2464344434672886,30
Dataset A,0.5849999999999997,0.2267901953362617,31
Dataset A,0.5849999999999997,0.1229708971644455,32
Dataset A,0.5849999999999997,0.1145380041830773,33
Dataset A,0.5849999999999997,0.1145380041830773,34
Dataset A,0.5849999999999997,0.1104738618627957,35
Dataset A,0.5899999999999997,0.5870884250007447,2
Dataset A,0.5899999999999997,0.7255084598562997,3
Dataset A,0.5899999999999997,0.7767553551069003,4
Dataset A,0.5899999999999997,0.7877446834219429,5
Dataset A,0.5899999999999997,0.798860163550052,6
Dataset A,0.5899999999999997,0.798860163550052,7
Dataset A,0.5899999999999997,0.798860163550052,8
Dataset A,0.5899999999999997,0.798860163550052,9
Dataset A,0.5899999999999997,0.8100976347986323,10
Dataset A,0.5899999999999997,0.8100976347986323,11
Dataset A,0.5899999999999997,0.8100976347986323,12
Dataset A,0.5899999999999997,0.8196426497420469,13
Dataset A,0.5899999999999997,0.8196426497420469,14
Dataset A,0.5899999999999997,0.8196426497420469,15
Dataset A,0.5899999999999997,0.8309366761685681,16
Dataset A,0.5899999999999997,0.8309366761685681,17
Dataset A,0.5899999999999997,0.8309366761685681,18
Dataset A,0.5899999999999997,0.8309366761685681,19
Dataset A,0.5899999999999997,0.8309366761685681,20
Dataset A,0.5899999999999997,0.8309366761685681,21
Dataset A,0.5899999999999997,0.8309366761685681,22
Dataset A,0.5899999999999997,0.8406017550485393,23
Dataset A,0.5899999999999997,0.8406017550485393,24
Dataset A,0.5899999999999997,0.5672937771345875,25
Dataset A,0.5899999999999997,0.4902465666197903,26
Dataset A,0.5899999999999997,0.4599911876403158,27
Dataset A,0.5899999999999997,0.3969889511846097,28
Dataset A,0.5899999999999997,0.2516100458226942,29
Dataset A,0.5899999999999997,0.2516100458226942,30
Dataset A,0.5899999999999997,0.2366088670037216,31
Dataset A,0.5899999999999997,0.1317249889650667,32
Dataset A,0.5899999999999997,0.1273414098122179,33
Dataset A,0.5899999999999997,0.1187481508304771,34
Dataset A,0.5899999999999997,0.1187481508304771,35
Dataset A,0.5949999999999998,0.5870884250007447,2
Dataset A,0.5949999999999998,0.7255084598562997,3
Dataset A,0.5949999999999998,0.7767553551069003,4
Dataset A,0.5949999999999998,0.7767553551069003,5
Dataset A,0.5949999999999998,0.798860163550052,6
Dataset A,0.5949999999999998,0.798860163550052,7
Dataset A,0.5949999999999998,0.798860163550052,8
Dataset A,0.5949999999999998,0.798860163550052,9
Dataset A,0.5949999999999998,0.798860163550052,10
Dataset A,0.5949999999999998,0.798860163550052,11
Dataset A,0.5949999999999998,0.8100976347986323,12
Dataset A,0.5949999999999998,0.8100976347986323,13
Dataset A,0.5949999999999998,0.8196426497420469,14
Dataset A,0.5949999999999998,0.8196426497420469,15
Dataset A,0.5949999999999998,0.8196426497420469,16
Dataset A,0.5949999999999998,0.8309366761685681,17
Dataset A,0.5949999999999998,0.8309366761685681,18
Dataset A,0.5949999999999998,0.8309366761685681,19
Dataset A,0.5949999999999998,0.8309366761685681,20
Dataset A,0.5949999999999998,0.8309366761685681,21
Dataset A,0.5949999999999998,0.8309366761685681,22
Dataset A,0.5949999999999998,0.8406017550485393,23
Dataset A,0.5949999999999998,0.8406017550485393,24
Dataset A,0.5949999999999998,0.5672937771345875,25
Dataset A,0.5949999999999998,0.4902465666197903,26
Dataset A,0.5949999999999998,0.4659952345327723,27
Dataset A,0.5949999999999998,0.4082474709089386,28
Dataset A,0.5949999999999998,0.2557917867225472,29
Dataset A,0.5949999999999998,0.2557917867225472,30
Dataset A,0.5949999999999998,0.2414346520949647,31
Dataset A,0.5949999999999998,0.1317249889650667,32
Dataset A,0.5949999999999998,0.1273414098122179,33
Dataset A,0.5949999999999998,0.1187481508304771,34
Dataset A,0.5949999999999998,0.1187481508304771,35
Dataset A,0.5999999999999998,0.5870884250007447,2
Dataset A,0.5999999999999998,0.7255084598562997,3
Dataset A,0.5999999999999998,0.7767553551069003,4
Dataset A,0.5999999999999998,0.7767553551069003,5
Dataset A,0.5999999999999998,0.798860163550052,6
Dataset A,0.5999999999999998,0.798860163550052,7
Dataset A,0.5999999999999998,0.798860163550052,8
Dataset A,0.5999999999999998,0.798860163550052,9
Dataset A,0.5999999999999998,0.798860163550052,10
Dataset A,0.5999999999999998,0.798860163550052,11
Dataset A,0.5999999999999998,0.798860163550052,12
Dataset A,0.5999999999999998,0.8100976347986323,13
Dataset A,0.5999999999999998,0.8100976347986323,14
Dataset A,0.5999999999999998,0.8100976347986323,15
Dataset A,0.5999999999999998,0.8196426497420469,16
Dataset A,0.5999999999999998,0.8309366761685681,17
Dataset A,0.5999999999999998,0.8309366761685681,18
Dataset A,0.5999999999999998,0.8309366761685681,19
Dataset A,0.5999999999999998,0.8309366761685681,20
Dataset A,0.5999999999999998,0.8309366761685681,21
Dataset A,0.5999999999999998,0.8309366761685681,22
Dataset A,0.5999999999999998,0.8309366761685681,23
Dataset A,0.5999999999999998,0.8406017550485393,24
Dataset A,0.5999999999999998,0.5672937771345875,25
Dataset A,0.5999999999999998,0.4964630104233278,26
Dataset A,0.5999999999999998,0.4659952345327723,27
Dataset A,0.5999999999999998,0.4133494223894046,28
Dataset A,0.5999999999999998,0.3843247348124052,29
Dataset A,0.5999999999999998,0.2601412895203359,30
Dataset A,0.5999999999999998,0.2414346520949647,31
Dataset A,0.5999999999999998,0.2374290121831332,32
Dataset A,0.5999999999999998,0.1317249889650667,33
Dataset A,0.5999999999999998,0.1317249889650667,34
Dataset A,0.5999999999999998,0.1187481508304771,35
Dataset A,0.6049999999999998,0.5738108152427565,2
Dataset A,0.6049999999999998,0.7255084598562997,3
Dataset A,0.6049999999999998,0.7674026768054063,4
Dataset A,0.6049999999999998,0.7767553551069003,5
Dataset A,0.6049999999999998,0.7877446834219429,6
Dataset A,0.6049999999999998,0.798860163550052,7
Dataset A,0.6049999999999998,0.798860163550052,8
Dataset A,0.6049999999999998,0.798860163550052,9
Dataset A,0.6049999999999998,0.798860163550052,10
Dataset A,0.6049999999999998,0.798860163550052,11
Dataset A,0.6049999999999998,0.798860163550052,12
Dataset A,0.6049999999999998,0.798860163550052,13
Dataset A,0.6049999999999998,0.8100976347986323,14
Dataset A,0.6049999999999998,0.8100976347986323,15
Dataset A,0.6049999999999998,0.8100976347986323,16
Dataset A,0.6049999999999998,0.8309366761685681,17
Dataset A,0.6049999999999998,0.8309366761685681,18
Dataset A,0.6049999999999998,0.8309366761685681,19
Dataset A,0.6049999999999998,0.8309366761685681,20
Dataset A,0.6049999999999998,0.8309366761685681,21
Dataset A,0.6049999999999998,0.8309366761685681,22
Dataset A,0.6049999999999998,0.8309366761685681,23
Dataset A,0.6049999999999998,0.8406017550485393,24
Dataset A,0.6049999999999998,0.5598921938766912,25
Dataset A,0.6049999999999998,0.4964630104233278,26
Dataset A,0.6049999999999998,0.4726499712019247,27
Dataset A,0.6049999999999998,0.4242401398660216,28
Dataset A,0.6049999999999998,0.4018645557222457,29
Dataset A,0.6049999999999998,0.265650806459474,30
Dataset A,0.6049999999999998,0.2506109158844256,31
Dataset A,0.6049999999999998,0.2374290121831332,32
Dataset A,0.6049999999999998,0.1317249889650667,33
Dataset A,0.6049999999999998,0.1317249889650667,34
Dataset A,0.6049999999999998,0.1231058247187279,35
Dataset A,0.6099999999999998,0.5738108152427565,2
Dataset A,0.6099999999999998,0.7255084598562997,3
