Dataset,SF,ARI,K
Dataset A,0.0699999999999999,0.0,28
Dataset A,0.0699999999999999,0.0,29
Dataset A,0.0699999999999999,0.0,30
Dataset A,0.0699999999999999,0.0,31
Dataset A,0.0699999999999999,0.0,32
Dataset A,0.0699999999999999,0.0,33
Dataset A,0.0699999999999999,0.0,34
Dataset A,0.0699999999999999,0.0,35
Dataset A,0.0749999999999999,0.1688721915999964,2
Dataset A,0.0749999999999999,0.1002284315551114,3
Dataset A,0.0749999999999999,0.0564514578196872,4
Dataset A,0.0749999999999999,0.0096427166268064,5
Dataset A,0.0749999999999999,0.0,6
Dataset A,0.0749999999999999,0.0,7
Dataset A,0.0749999999999999,0.0,8
Dataset A,0.0749999999999999,0.0,9
Dataset A,0.0749999999999999,0.0,10
Dataset A,0.0749999999999999,0.0,11
Dataset A,0.0749999999999999,0.0,12
Dataset A,0.0749999999999999,0.0,13
Dataset A,0.0749999999999999,0.0,14
Dataset A,0.0749999999999999,0.0,15
Dataset A,0.0749999999999999,0.0,16
Dataset A,0.0749999999999999,0.0,17
Dataset A,0.0749999999999999,0.0,18
Dataset A,0.0749999999999999,0.0,19
Dataset A,0.0749999999999999,0.0,20
Dataset A,0.0749999999999999,0.0,21
Dataset A,0.0749999999999999,0.0,22
Dataset A,0.0749999999999999,0.0,23
Dataset A,0.0749999999999999,0.0,24
Dataset A,0.0749999999999999,0.0,25
Dataset A,0.0749999999999999,0.0,26
Dataset A,0.0749999999999999,0.0,27
Dataset A,0.0749999999999999,0.0,28
Dataset A,0.0749999999999999,0.0,29
Dataset A,0.0749999999999999,0.0,30
Dataset A,0.0749999999999999,0.0,31
Dataset A,0.0749999999999999,0.0,32
Dataset A,0.0749999999999999,0.0,33
Dataset A,0.0749999999999999,0.0,34
Dataset A,0.0749999999999999,0.0,35
Dataset A,0.0799999999999999,0.1827465214969776,2
Dataset A,0.0799999999999999,0.1467419439031521,3
Dataset A,0.0799999999999999,0.088321683166562,4
Dataset A,0.0799999999999999,0.031960681905651,5
Dataset A,0.0799999999999999,0.0,6
Dataset A,0.0799999999999999,0.0,7
Dataset A,0.0799999999999999,0.0,8
Dataset A,0.0799999999999999,0.0,9
Dataset A,0.0799999999999999,0.0,10
Dataset A,0.0799999999999999,0.0,11
Dataset A,0.0799999999999999,0.0,12
Dataset A,0.0799999999999999,0.0,13
Dataset A,0.0799999999999999,0.0,14
Dataset A,0.0799999999999999,0.0,15
Dataset A,0.0799999999999999,0.0,16
Dataset A,0.0799999999999999,0.0,17
Dataset A,0.0799999999999999,0.0,18
Dataset A,0.0799999999999999,0.0,19
Dataset A,0.0799999999999999,0.0,20
Dataset A,0.0799999999999999,0.0,21
Dataset A,0.0799999999999999,0.0,22
Dataset A,0.0799999999999999,0.0,23
Dataset A,0.0799999999999999,0.0,24
Dataset A,0.0799999999999999,0.0,25
Dataset A,0.0799999999999999,0.0,26
Dataset A,0.0799999999999999,0.0,27
Dataset A,0.0799999999999999,0.0,28
Dataset A,0.0799999999999999,0.0,29
Dataset A,0.0799999999999999,0.0,30
Dataset A,0.0799999999999999,0.0,31
Dataset A,0.0799999999999999,0.0,32
Dataset A,0.0799999999999999,0.0,33
Dataset A,0.0799999999999999,0.0,34
Dataset A,0.0799999999999999,0.0,35
Dataset A,0.0849999999999999,0.2447208808912342,2
Dataset A,0.0849999999999999,0.1639366080028018,3
Dataset A,0.0849999999999999,0.1135254944853357,4
Dataset A,0.0849999999999999,0.0589638142691487,5
Dataset A,0.0849999999999999,0.0,6
