DataSize,Time,Algorithm
5500,1.6439356803894043,FlowDBSCAN
5500,3.529085397720337,ScaleFC
6000,1.5347154140472412,FlowDBSCAN
6000,3.7372772693634033,ScaleFC
6500,1.837752103805542,FlowDBSCAN
6500,4.574605464935303,ScaleFC
7000,1.8276500701904297,FlowDBSCAN
7000,5.649613857269287,ScaleFC
7500,1.999969244003296,FlowDBSCAN
7500,6.087582111358643,ScaleFC
8000,3.279203414916992,FlowDBSCAN
8000,6.165184736251831,ScaleFC
8500,2.437957763671875,FlowDBSCAN
8500,7.673484325408935,ScaleFC
9000,2.7395620346069336,FlowDBSCAN
9000,7.329590559005737,ScaleFC
9500,3.846904039382935,FlowDBSCAN
9500,9.136909008026125,ScaleFC
10000,3.809461116790772,FlowDBSCAN
10000,9.229100227355955,ScaleFC
10500,3.5259811878204346,FlowDBSCAN
10500,10.242825031280518,ScaleFC
11000,4.5194385051727295,FlowDBSCAN
11000,12.531038284301758,ScaleFC
11500,5.141493797302246,FlowDBSCAN
11500,12.493726015090942,ScaleFC
12000,5.77929425239563,FlowDBSCAN
12000,14.180497884750366,ScaleFC
12500,5.544655799865723,FlowDBSCAN
12500,14.67174792289734,ScaleFC
13000,6.093690395355225,FlowDBSCAN
13000,16.529698610305786,ScaleFC
13500,6.399556636810303,FlowDBSCAN
13500,17.595427989959717,ScaleFC
14000,7.619386911392212,FlowDBSCAN
14000,19.524803161621094,ScaleFC
14500,7.170377016067505,FlowDBSCAN
14500,17.967005729675293,ScaleFC
15000,7.74470329284668,FlowDBSCAN
15000,19.087995052337646,ScaleFC
15500,7.458132743835449,FlowDBSCAN
15500,22.7262442111969,ScaleFC
16000,10.506459712982178,FlowDBSCAN
16000,23.30325579643249,ScaleFC
16500,9.824247121810911,FlowDBSCAN
16500,27.764489889144897,ScaleFC
17000,8.806950807571411,FlowDBSCAN
17000,27.09229588508606,ScaleFC
17500,9.082642078399658,FlowDBSCAN
17500,26.25741004943848,ScaleFC
18000,11.52009916305542,FlowDBSCAN
18000,28.68407392501831,ScaleFC
18500,10.471675634384155,FlowDBSCAN
18500,29.229485511779785,ScaleFC
19000,11.70187282562256,FlowDBSCAN
19000,32.89788007736206,ScaleFC
19500,12.536625623703005,FlowDBSCAN
19500,34.28967308998108,ScaleFC
20000,14.346980094909668,FlowDBSCAN
20000,37.59980916976929,ScaleFC
5500,127.82610487937929,AFC
5500,116.92453694343568,FlowLF
6000,169.73928213119507,AFC
6000,129.1117422580719,FlowLF
6500,185.4803822040558,AFC
6500,145.74031710624695,FlowLF
7000,230.36084127426147,AFC
7000,169.25839924812317,FlowLF
7500,247.31283164024356,AFC
7500,202.5430371761322,FlowLF
8000,265.12689113616943,AFC
8000,216.8049948215485,FlowLF
8500,313.0574631690979,AFC
8500,241.78090739250183,FlowLF
9000,356.51360392570496,AFC
9000,268.7176032066345,FlowLF
9500,369.07150745391846,AFC
9500,293.7638781070709,FlowLF
10000,429.160897731781,AFC
10000,327.47492265701294,FlowLF
10500,444.4003448486328,AFC
10500,355.07200050354004,FlowLF
11000,509.2551031112671,AFC
11000,393.0939223766327,FlowLF
11500,570.6107077598572,AFC
11500,433.0402271747589,FlowLF
12000,617.4131009578705,AFC
12000,476.4490818977356,FlowLF
12500,675.811733007431,AFC
12500,518.636234998703,FlowLF
13000,717.108978509903,AFC
13000,546.1795637607574,FlowLF
13500,796.6154186725616,AFC
13500,624.1239547729492,FlowLF
14000,843.4203689098358,AFC
14000,678.1568415164948,FlowLF
14500,915.514544725418,AFC
14500,706.8186540603638,FlowLF
15000,978.1186363697052,AFC
15000,774.3440260887146,FlowLF
15500,1065.2754917144775,AFC
15500,854.677743434906,FlowLF
16000,1126.0564997196198,AFC
16000,926.440194606781,FlowLF
16500,1172.8189904689789,AFC
16500,1001.3036301136016,FlowLF
17000,1301.749115228653,AFC
17000,1112.85879945755,FlowLF
17500,1356.3691821098328,AFC
17500,1092.275622844696,FlowLF
18000,1402.747279882431,AFC
18000,1182.7734644412994,FlowLF
18500,1502.6915700435638,AFC
18500,1282.9884324073792,FlowLF
19000,1644.2974615097046,AFC
19000,1387.4511921405792,FlowLF
19500,1722.3882892131803,AFC
19500,1434.5293726921082,FlowLF
20000,1825.876300573349,AFC
20000,1519.3148527145386,FlowLF
