DataSize,Time,Algorithm
500,0.5466861724853516,AFC
500,1.0327098369598389,FlowLF
500,0.07105779647827148,FlowDBSCAN
500,0.13858366012573242,ScaleFC
600,0.6199991703033447,AFC
600,1.1489810943603516,FlowLF
600,0.07590389251708984,FlowDBSCAN
600,0.16205191612243652,ScaleFC
700,0.9035396575927734,AFC
700,1.2499094009399414,FlowLF
700,0.07319331169128418,FlowDBSCAN
700,0.1556401252746582,ScaleFC
800,0.9163179397583008,AFC
800,1.4006612300872803,FlowLF
800,0.09270834922790527,FlowDBSCAN
800,0.16364717483520508,ScaleFC
900,1.1693332195281982,AFC
900,1.7113902568817139,FlowLF
900,0.08522987365722656,FlowDBSCAN
900,0.23360681533813477,ScaleFC
1000,1.3409030437469482,AFC
1000,1.7145671844482422,FlowLF
1000,0.09205770492553711,FlowDBSCAN
1000,0.20385241508483887,ScaleFC
1100,1.5987415313720703,AFC
1100,1.9109230041503906,FlowLF
1100,0.10493826866149902,FlowDBSCAN
1100,0.27841687202453613,ScaleFC
1200,1.867217779159546,AFC
1200,2.0924370288848877,FlowLF
1200,0.11134028434753418,FlowDBSCAN
1200,0.3015263080596924,ScaleFC
1300,2.2039270401000977,AFC
1300,2.3227787017822266,FlowLF
1300,0.09754061698913574,FlowDBSCAN
1300,0.2807300090789795,ScaleFC
1400,2.774982213973999,AFC
1400,6.3387367725372314,FlowLF
1400,0.12725257873535156,FlowDBSCAN
1400,0.3341341018676758,ScaleFC
1500,2.9423341751098633,AFC
1500,4.553261995315552,FlowLF
1500,0.15043878555297852,FlowDBSCAN
1500,0.3649263381958008,ScaleFC
1600,3.848748207092285,AFC
1600,5.0898730754852295,FlowLF
1600,0.13672089576721191,FlowDBSCAN
1600,0.38655734062194824,ScaleFC
1700,3.837550163269043,AFC
1700,3.5455634593963623,FlowLF
1700,0.1364736557006836,FlowDBSCAN
1700,0.41892123222351074,ScaleFC
1800,4.197225093841553,AFC
1800,3.761019229888916,FlowLF
1800,0.13937878608703613,FlowDBSCAN
1800,0.45618581771850586,ScaleFC
1900,4.345176696777344,AFC
1900,4.534316301345825,FlowLF
1900,0.22014975547790527,FlowDBSCAN
1900,0.5578117370605469,ScaleFC
2000,5.454016923904419,AFC
2000,4.381350755691528,FlowLF
2000,0.15178728103637695,FlowDBSCAN
2000,0.4174191951751709,ScaleFC
2100,5.5752153396606445,AFC
2100,5.353991746902466,FlowLF
2100,0.22501158714294434,FlowDBSCAN
2100,0.6109554767608643,ScaleFC
2200,6.183993101119995,AFC
2200,5.4238951206207275,FlowLF
2200,0.21788644790649414,FlowDBSCAN
2200,0.6542587280273438,ScaleFC
2300,6.532898187637329,AFC
2300,5.752504110336304,FlowLF
2300,0.19609332084655762,FlowDBSCAN
2300,0.5181548595428467,ScaleFC
2400,6.337381601333618,AFC
2400,6.1914331912994385,FlowLF
2400,0.2297520637512207,FlowDBSCAN
2400,0.7829380035400391,ScaleFC
2500,6.997920036315918,AFC
2500,6.3998072147369385,FlowLF
2500,0.27108097076416016,FlowDBSCAN
2500,0.649256706237793,ScaleFC
2600,6.62095046043396,AFC
2600,6.756265640258789,FlowLF
2600,0.22417378425598145,FlowDBSCAN
2600,0.7137141227722168,ScaleFC
2700,9.450760841369629,AFC
2700,7.47479248046875,FlowLF
2700,0.28091001510620117,FlowDBSCAN
2700,0.7645678520202637,ScaleFC
2800,10.073535680770874,AFC
2800,7.994919061660767,FlowLF
2800,0.2909095287322998,FlowDBSCAN
2800,0.7390882968902588,ScaleFC
2900,10.750980377197266,AFC
2900,8.483078956604004,FlowLF
2900,0.27217912673950195,FlowDBSCAN
2900,0.7711806297302246,ScaleFC
3000,11.737515211105347,AFC
3000,9.205825090408325,FlowLF
3000,0.3141956329345703,FlowDBSCAN
3000,0.8340020179748535,ScaleFC
3100,12.291549682617188,AFC
3100,10.183271169662476,FlowLF
3100,0.3115074634552002,FlowDBSCAN
3100,0.9229621887207031,ScaleFC
3200,13.341088056564331,AFC
3200,12.419591188430786,FlowLF
3200,0.5020933151245117,FlowDBSCAN
3200,1.4078969955444336,ScaleFC
3300,14.067394971847534,AFC
3300,12.636482954025269,FlowLF
3300,0.38220930099487305,FlowDBSCAN
3300,1.000927448272705,ScaleFC
3400,14.677942752838135,AFC
3400,13.079234600067139,FlowLF
3400,0.36446666717529297,FlowDBSCAN
3400,1.5358819961547852,ScaleFC
3500,15.771260261535645,AFC
3500,13.941088914871216,FlowLF
3500,0.43056344985961914,FlowDBSCAN
3500,1.1311211585998535,ScaleFC
3600,17.30006432533264,AFC
3600,15.335187673568726,FlowLF
3600,0.45647192001342773,FlowDBSCAN
3600,1.1812059879302979,ScaleFC
3700,18.108237266540527,AFC
3700,15.837479591369629,FlowLF
3700,0.4834096431732178,FlowDBSCAN
3700,1.3294003009796143,ScaleFC
3800,18.701648712158203,AFC
3800,17.18885850906372,FlowLF
3800,0.45830583572387695,FlowDBSCAN
3800,1.4122114181518555,ScaleFC
3900,20.04000735282898,AFC
3900,18.476540327072144,FlowLF
3900,0.5142195224761963,FlowDBSCAN
3900,1.4709291458129883,ScaleFC
4000,21.868417978286743,AFC
4000,20.537977695465088,FlowLF
4000,0.5864367485046387,FlowDBSCAN
4000,1.57187819480896,ScaleFC
4100,22.283650398254395,AFC
4100,20.094945669174194,FlowLF
4100,0.5852055549621582,FlowDBSCAN
4100,1.4769964218139648,ScaleFC
4200,23.88187313079834,AFC
4200,19.767566680908203,FlowLF
4200,0.6714599132537842,FlowDBSCAN
4200,1.6463522911071777,ScaleFC
