DataSize,Time,Algorithm
5500,1.159888744354248,FlowDBSCAN
5500,2.730215072631836,ScaleFC
6000,1.3976683616638184,FlowDBSCAN
6000,3.2999277114868164,ScaleFC
6500,1.534393548965454,FlowDBSCAN
6500,4.68161940574646,ScaleFC
7000,1.6832242012023926,FlowDBSCAN
7000,4.604308128356934,ScaleFC
7500,1.88313102722168,FlowDBSCAN
7500,5.143702745437622,ScaleFC
8000,2.7955684661865234,FlowDBSCAN
8000,6.870722770690918,ScaleFC
8500,2.8607680797576904,FlowDBSCAN
8500,6.552771091461182,ScaleFC
9000,2.861020565032959,FlowDBSCAN
9000,9.207120418548584,ScaleFC
9500,3.0040078163146973,FlowDBSCAN
9500,9.188819169998167,ScaleFC
10000,4.101618051528931,FlowDBSCAN
10000,9.222875356674194,ScaleFC
10500,4.213340759277344,FlowDBSCAN
10500,11.441100120544434,ScaleFC
11000,3.939155817031861,FlowDBSCAN
11000,10.754414081573486,ScaleFC
11500,4.2215416431427,FlowDBSCAN
11500,12.995019435882568,ScaleFC
12000,6.691769599914551,FlowDBSCAN
12000,13.819351196289062,ScaleFC
12500,5.5342559814453125,FlowDBSCAN
12500,14.455057382583618,ScaleFC
13000,6.21783709526062,FlowDBSCAN
13000,17.339757204055786,ScaleFC
13500,5.824793815612793,FlowDBSCAN
13500,15.957982063293455,ScaleFC
14000,6.687053442001343,FlowDBSCAN
14000,17.375977039337158,ScaleFC
14500,6.412211656570435,FlowDBSCAN
14500,21.11282110214233,ScaleFC
15000,7.883694410324097,FlowDBSCAN
15000,19.05553126335144,ScaleFC
15500,8.41747522354126,FlowDBSCAN
15500,24.31957411766052,ScaleFC
16000,10.442827701568604,FlowDBSCAN
16000,23.48879766464233,ScaleFC
16500,9.451469659805298,FlowDBSCAN
16500,23.27292370796204,ScaleFC
17000,9.21248698234558,FlowDBSCAN
17000,25.183077096939087,ScaleFC
17500,9.47612190246582,FlowDBSCAN
17500,28.28175091743469,ScaleFC
18000,13.324453830718994,FlowDBSCAN
18000,31.896066904067997,ScaleFC
18500,10.836596727371216,FlowDBSCAN
18500,33.31739902496338,ScaleFC
19000,11.361368417739868,FlowDBSCAN
19000,35.26309037208557,ScaleFC
19500,13.520100831985474,FlowDBSCAN
19500,32.97926688194275,ScaleFC
20000,16.44021773338318,FlowDBSCAN
20000,35.58056330680847,ScaleFC
5500,1322.7001719191185,AFC
5500,134.3919490938772,FlowLF
6000,1534.7992513759496,AFC
6000,1034.3293098761023,FlowLF
6500,1241.4460258710797,AFC
6500,695.1822693681152,FlowLF
7000,1432.097569668009,AFC
7000,1115.6934526409964,FlowLF
7500,762.8258439758971,AFC
7500,386.1441543312677,FlowLF
8000,619.5550516503358,AFC
8000,1089.1019016910736,FlowLF
8500,606.5067933704106,AFC
8500,320.51530221332456,FlowLF
9000,1056.7210997087673,AFC
9000,363.2793827772986,FlowLF
9500,520.3411657866529,AFC
9500,779.5912657176656,FlowLF
10000,710.6464859697505,AFC
10000,456.5295856568015,FlowLF
10500,972.2118313984691,AFC
10500,525.93622486919,FlowLF
11000,985.603218402714,AFC
11000,443.57049779039744,FlowLF
11500,217.12857314372832,AFC
11500,326.5154396091288,FlowLF
12000,544.444106254208,AFC
12000,218.1547881755455,FlowLF
12500,26.479569202226003,AFC
12500,961.1247435334064,FlowLF
13000,732.1347457941587,AFC
13000,835.2602930573017,FlowLF
13500,813.8599310026412,AFC
13500,918.5371708517443,FlowLF
14000,1099.8161083734649,AFC
14000,1054.4098126220065,FlowLF
14500,1774.4777931973135,AFC
14500,767.0391377146825,FlowLF
15000,827.6143691647958,AFC
15000,1117.6780771534063,FlowLF
15500,766.6706142621906,AFC
15500,769.8655404583798,FlowLF
16000,952.7957431599594,AFC
16000,1514.369733324981,FlowLF
16500,492.6562016075508,AFC
16500,952.9819053047808,FlowLF
17000,510.7771428128231,AFC
17000,248.3953573051262,FlowLF
17500,1688.2249280946094,AFC
17500,420.8501797902869,FlowLF
18000,638.1980508238098,AFC
18000,687.9036592869436,FlowLF
18500,1207.1865470811929,AFC
18500,1013.1538061529984,FlowLF
19000,1691.9130678545785,AFC
19000,799.5884123903663,FlowLF
19500,957.2730790646108,AFC
19500,426.407862937054,FlowLF
20000,136.35179793920406,AFC
20000,1383.584931442001,FlowLF
