DataSize,Time,Algorithm
5500,1.634066104888916,FlowDBSCAN
5500,3.545159816741944,ScaleFC
6000,1.6434900760650637,FlowDBSCAN
6000,4.308044910430908,ScaleFC
6500,1.8823769092559812,FlowDBSCAN
6500,4.584147930145264,ScaleFC
7000,2.17492938041687,FlowDBSCAN
7000,5.420252799987793,ScaleFC
7500,2.1030490398406982,FlowDBSCAN
7500,5.056824684143066,ScaleFC
8000,3.8016531467437744,FlowDBSCAN
8000,5.998407602310181,ScaleFC
8500,2.776129722595215,FlowDBSCAN
8500,6.450528144836426,ScaleFC
9000,2.6852524280548096,FlowDBSCAN
9000,7.197275400161743,ScaleFC
9500,3.229825973510742,FlowDBSCAN
9500,8.029838562011719,ScaleFC
10000,4.087928056716919,FlowDBSCAN
10000,9.011303901672363,ScaleFC
10500,3.618105888366699,FlowDBSCAN
10500,9.860295057296751,ScaleFC
11000,3.9121501445770255,FlowDBSCAN
11000,11.758903980255129,ScaleFC
11500,4.698454856872559,FlowDBSCAN
11500,12.85335373878479,ScaleFC
12000,6.973546504974365,FlowDBSCAN
12000,13.046546697616575,ScaleFC
12500,5.731507778167725,FlowDBSCAN
12500,13.882112503051758,ScaleFC
13000,5.256142616271973,FlowDBSCAN
13000,14.487444162368774,ScaleFC
13500,6.269139051437378,FlowDBSCAN
13500,16.594276189804077,ScaleFC
14000,8.318053722381592,FlowDBSCAN
14000,19.991310119628903,ScaleFC
14500,7.467749357223511,FlowDBSCAN
14500,18.260486841201782,ScaleFC
15000,7.579115152359009,FlowDBSCAN
15000,19.604888200759888,ScaleFC
15500,8.066273212432861,FlowDBSCAN
15500,22.548317670822144,ScaleFC
16000,9.88110876083374,FlowDBSCAN
16000,25.738441705703732,ScaleFC
16500,8.804303169250488,FlowDBSCAN
16500,24.28608465194702,ScaleFC
17000,10.335065364837646,FlowDBSCAN
17000,28.256391286849976,ScaleFC
17500,9.4046311378479,FlowDBSCAN
17500,26.78237652778625,ScaleFC
18000,12.85614275932312,FlowDBSCAN
18000,32.41956615447998,ScaleFC
18500,10.859898567199709,FlowDBSCAN
18500,35.54873776435852,ScaleFC
19000,12.868158102035522,FlowDBSCAN
19000,34.163341760635376,ScaleFC
19500,12.538073778152466,FlowDBSCAN
19500,32.9105966091156,ScaleFC
20000,15.472413539886476,FlowDBSCAN
20000,40.91756415367127,ScaleFC
5500,125.89792704582214,AFC
5500,99.76871132850648,FlowLF
6000,146.42881727218628,AFC
6000,110.9849615097046,FlowLF
6500,173.89984893798828,AFC
6500,133.53568530082703,FlowLF
7000,202.46802854537964,AFC
7000,151.3844563961029,FlowLF
7500,227.81104922294617,AFC
7500,176.40127730369568,FlowLF
8000,258.20834040641785,AFC
8000,198.69749546051025,FlowLF
8500,295.4923188686371,AFC
8500,235.37886834144592,FlowLF
9000,333.9398012161255,AFC
9000,257.7568774223328,FlowLF
9500,365.615127325058,AFC
9500,282.220650434494,FlowLF
10000,415.9474818706513,AFC
10000,320.2027444839477,FlowLF
10500,456.40681886672974,AFC
10500,346.75767397880554,FlowLF
11000,501.97723150253296,AFC
11000,387.1035082340241,FlowLF
11500,552.5891063213348,AFC
11500,424.2818655967712,FlowLF
12000,595.5977284908295,AFC
12000,468.35384917259216,FlowLF
12500,664.101122379303,AFC
12500,504.9870502948761,FlowLF
13000,728.0929658412933,AFC
13000,531.3501574993134,FlowLF
13500,761.4312314987183,AFC
13500,598.9420444965363,FlowLF
14000,842.0262520313263,AFC
14000,655.5671334266663,FlowLF
14500,893.3384017944336,AFC
14500,699.7778265476227,FlowLF
15000,949.6488451957704,AFC
15000,767.2486536502838,FlowLF
15500,1055.019644021988,AFC
15500,832.9535188674927,FlowLF
16000,1093.8869817256927,AFC
16000,906.6638712882996,FlowLF
16500,1158.7657148838043,AFC
16500,973.586652994156,FlowLF
17000,1248.6128296852112,AFC
17000,1023.9536979198456,FlowLF
17500,1313.5145132541656,AFC
17500,1115.1879432201383,FlowLF
18000,1380.7307524681091,AFC
18000,1157.3938791751862,FlowLF
18500,1476.6189277172089,AFC
18500,1252.5880863666534,FlowLF
19000,1570.5202746391296,AFC
19000,1324.149294614792,FlowLF
19500,1627.632179260254,AFC
19500,1410.50936293602,FlowLF
20000,1784.2458004951477,AFC
20000,1501.0540482997894,FlowLF
