DataSize,Time,Algorithm
5500,1.5380003452301023,FlowDBSCAN
5500,2.993752241134644,ScaleFC
6000,1.3814985752105713,FlowDBSCAN
6000,3.3338403701782227,ScaleFC
6500,2.085647821426392,FlowDBSCAN
6500,4.127699613571167,ScaleFC
7000,1.691291570663452,FlowDBSCAN
7000,4.567529439926148,ScaleFC
7500,2.3955323696136475,FlowDBSCAN
7500,5.072291612625122,ScaleFC
8000,2.85343337059021,FlowDBSCAN
8000,5.946663856506348,ScaleFC
8500,2.5453453063964844,FlowDBSCAN
8500,6.55206561088562,ScaleFC
9000,2.888641119003296,FlowDBSCAN
9000,7.543115139007568,ScaleFC
9500,2.8802928924560547,FlowDBSCAN
9500,10.476523399353027,ScaleFC
10000,3.888263702392578,FlowDBSCAN
10000,10.318053483963013,ScaleFC
10500,4.363258361816406,FlowDBSCAN
10500,11.3913414478302,ScaleFC
11000,4.431650161743164,FlowDBSCAN
11000,12.07234239578247,ScaleFC
11500,4.654246807098389,FlowDBSCAN
11500,12.349398136138916,ScaleFC
12000,6.3904869556427,FlowDBSCAN
12000,14.329562902450562,ScaleFC
12500,5.525925397872925,FlowDBSCAN
12500,15.17052936553955,ScaleFC
13000,5.488679647445679,FlowDBSCAN
13000,15.81439208984375,ScaleFC
13500,5.806254386901856,FlowDBSCAN
13500,15.86762833595276,ScaleFC
14000,8.498206615447998,FlowDBSCAN
14000,18.75363659858704,ScaleFC
14500,7.084391832351685,FlowDBSCAN
14500,18.673076152801517,ScaleFC
15000,7.82095742225647,FlowDBSCAN
15000,19.28370356559753,ScaleFC
15500,7.420035600662231,FlowDBSCAN
15500,21.15648818016052,ScaleFC
16000,10.63754940032959,FlowDBSCAN
16000,25.01514315605164,ScaleFC
16500,8.892812490463257,FlowDBSCAN
16500,23.889323711395264,ScaleFC
17000,8.903452634811401,FlowDBSCAN
17000,27.507850170135494,ScaleFC
17500,9.915117263793944,FlowDBSCAN
17500,26.6728949546814,ScaleFC
18000,11.438576221466064,FlowDBSCAN
18000,30.5720694065094,ScaleFC
18500,10.862811803817747,FlowDBSCAN
18500,30.17498588562012,ScaleFC
19000,12.770251274108888,FlowDBSCAN
19000,30.972569942474365,ScaleFC
19500,12.87958025932312,FlowDBSCAN
19500,36.36589527130127,ScaleFC
20000,14.406888008117676,FlowDBSCAN
20000,40.46647667884827,ScaleFC
5500,129.84259414672852,AFC
5500,95.90607404708862,FlowLF
6000,154.64820861816406,AFC
6000,95.7359573841095,FlowLF
6500,187.470552444458,AFC
6500,119.41029834747314,FlowLF
7000,217.24657464027405,AFC
7000,144.7090117931366,FlowLF
7500,256.9625644683838,AFC
7500,163.33085584640503,FlowLF
8000,280.1220133304596,AFC
8000,185.15125346183777,FlowLF
8500,322.3494837284088,AFC
8500,201.60308384895325,FlowLF
9000,352.3971960544586,AFC
9000,224.87831926345825,FlowLF
9500,414.0404720306397,AFC
9500,249.6693093776703,FlowLF
10000,460.1869351863861,AFC
10000,286.64299297332764,FlowLF
10500,491.2837688922882,AFC
10500,307.23768043518066,FlowLF
11000,552.4518349170685,AFC
11000,330.00131344795227,FlowLF
11500,619.9202330112457,AFC
11500,363.934799194336,FlowLF
12000,662.6080164909363,AFC
12000,391.79930353164673,FlowLF
12500,710.3454170227051,AFC
12500,429.2243835926056,FlowLF
13000,767.1535692214966,AFC
13000,459.91167402267456,FlowLF
13500,849.7855677604675,AFC
13500,513.0605669021606,FlowLF
14000,906.311182975769,AFC
14000,540.7067313194275,FlowLF
14500,979.1335248947144,AFC
14500,564.1375651359558,FlowLF
15000,1037.3628797531128,AFC
15000,628.3669464588165,FlowLF
15500,1105.8117487430573,AFC
15500,686.849170923233,FlowLF
16000,1204.8191304206848,AFC
16000,814.3453457355499,FlowLF
16500,1227.4121623039246,AFC
16500,857.684907913208,FlowLF
17000,1332.580021858215,AFC
17000,955.2716014385225,FlowLF
17500,1430.0783381462095,AFC
17500,1033.4823319911957,FlowLF
18000,1465.1840052604675,AFC
18000,1109.9581031799316,FlowLF
18500,1623.139191865921,AFC
18500,1224.850035905838,FlowLF
19000,1744.6207823753357,AFC
19000,1411.6941759586334,FlowLF
19500,1893.4229958057404,AFC
19500,1550.1758334636688,FlowLF
20000,2004.217692375183,AFC
20000,1702.1020135879517,FlowLF
