DataSize,Time,Algorithm
5500,1.5416545867919922,FlowDBSCAN
5500,3.3971195220947266,ScaleFC
6000,1.5840296745300293,FlowDBSCAN
6000,4.19576358795166,ScaleFC
6500,1.9892377853393557,FlowDBSCAN
6500,4.223497629165649,ScaleFC
7000,1.7874114513397217,FlowDBSCAN
7000,5.092259407043457,ScaleFC
7500,2.324769735336304,FlowDBSCAN
7500,6.270658016204834,ScaleFC
8000,2.638448715209961,FlowDBSCAN
8000,6.751316785812378,ScaleFC
8500,2.968529462814331,FlowDBSCAN
8500,7.365819454193115,ScaleFC
9000,2.942504405975342,FlowDBSCAN
9000,8.221628665924072,ScaleFC
9500,3.145569086074829,FlowDBSCAN
9500,8.921276569366455,ScaleFC
10000,3.527461051940918,FlowDBSCAN
10000,8.963337659835815,ScaleFC
10500,3.701176166534424,FlowDBSCAN
10500,10.612192630767822,ScaleFC
11000,3.909573793411255,FlowDBSCAN
11000,10.880327463150024,ScaleFC
11500,4.134504079818726,FlowDBSCAN
11500,11.668824195861816,ScaleFC
12000,5.715653896331787,FlowDBSCAN
12000,14.796333074569702,ScaleFC
12500,5.219771862030029,FlowDBSCAN
12500,16.001246452331543,ScaleFC
13000,5.569124460220337,FlowDBSCAN
13000,17.234923362731934,ScaleFC
13500,6.048779010772705,FlowDBSCAN
13500,17.07643747329712,ScaleFC
14000,8.390933990478516,FlowDBSCAN
14000,18.562621593475345,ScaleFC
14500,6.657304286956787,FlowDBSCAN
14500,18.246044158935547,ScaleFC
15000,6.955671310424805,FlowDBSCAN
15000,21.75374960899353,ScaleFC
15500,8.164999961853027,FlowDBSCAN
15500,20.322197437286377,ScaleFC
16000,11.026247501373293,FlowDBSCAN
16000,25.53577470779419,ScaleFC
16500,8.282205581665039,FlowDBSCAN
16500,22.88358044624329,ScaleFC
17000,9.056917190551758,FlowDBSCAN
17000,25.386244773864743,ScaleFC
17500,9.58707594871521,FlowDBSCAN
17500,26.011245489120483,ScaleFC
18000,12.543682336807253,FlowDBSCAN
18000,28.25663685798645,ScaleFC
18500,11.035053968429564,FlowDBSCAN
18500,31.798007249832157,ScaleFC
19000,11.099624395370483,FlowDBSCAN
19000,30.925466775894165,ScaleFC
19500,12.53336262702942,FlowDBSCAN
19500,35.76080250740051,ScaleFC
20000,15.09721541404724,FlowDBSCAN
20000,37.36753058433533,ScaleFC
5500,127.42606997489928,AFC
5500,117.06523299217224,FlowLF
6000,154.12875866889954,AFC
6000,125.81344079971312,FlowLF
6500,191.7677433490753,AFC
6500,145.36348795890808,FlowLF
7000,223.51956605911252,AFC
7000,169.1719572544098,FlowLF
7500,251.52556657791135,AFC
7500,198.46013975143435,FlowLF
8000,285.1345200538635,AFC
8000,216.7085816860199,FlowLF
8500,336.7491111755371,AFC
8500,250.37151908874512,FlowLF
9000,370.3942682743073,AFC
9000,278.60520124435425,FlowLF
9500,418.4712600708008,AFC
9500,301.99569272994995,FlowLF
10000,473.4277102947235,AFC
10000,351.1370408535004,FlowLF
10500,500.89864349365234,AFC
10500,394.3241338729858,FlowLF
11000,579.1253728866577,AFC
11000,429.994696855545,FlowLF
11500,643.0963799953461,AFC
11500,474.9064133167267,FlowLF
12000,680.87819480896,AFC
12000,513.5732686519623,FlowLF
12500,739.9629158973694,AFC
12500,559.8574659824371,FlowLF
13000,806.0562031269073,AFC
13000,601.716246843338,FlowLF
13500,875.0543074607849,AFC
13500,678.5932846069336,FlowLF
14000,958.2060170173644,AFC
14000,727.1443274021149,FlowLF
14500,1008.854186296463,AFC
14500,767.4745087623596,FlowLF
15000,1109.7457752227783,AFC
15000,827.089825630188,FlowLF
15500,1117.9847495555878,AFC
15500,884.5188808441162,FlowLF
16000,1232.1338238716123,AFC
16000,988.715014219284,FlowLF
16500,1257.259424686432,AFC
16500,1026.6634666919708,FlowLF
17000,1365.1223013401031,AFC
17000,1107.1345076560974,FlowLF
17500,1429.377111673355,AFC
17500,1208.898551940918,FlowLF
18000,1540.9399683475494,AFC
18000,1277.705686569214,FlowLF
18500,1653.7779622077942,AFC
18500,1356.4220294952393,FlowLF
19000,1721.216953754425,AFC
19000,1478.7256336212158,FlowLF
19500,1832.4575502872467,AFC
19500,1639.727195739746,FlowLF
20000,2004.61723613739,AFC
20000,1710.8697426319122,FlowLF
